Title,Genre,Premiere,IMDB Score,Language,id,type,description,release_year,genres,production_countries,imdb_id,imdb_votes,tmdb_score
Enter the Anime,Documentary,"August 5, 2019",2.5,English/Japanese,tm821164,MOVIE,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced documentary seeks to find the answers.",2019,['documentation'],"['US', 'JP']",tt10662450,1627,5.8
Dark Forces,Thriller,"August 21, 2020",2.6,Spanish,tm925785,MOVIE,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",2020,"['thriller', 'horror', 'action']",['US'],tt12536776,586,4.3
The App,Science fiction/Drama,"December 26, 2019",2.6,Italian,tm847630,MOVIE,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir NiccolÃÂ² becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",2019,"['scifi', 'thriller', 'drama']",['IT'],tt11385066,1329,2.9
The Open House,Horror thriller,"January 19, 2018",3.2,English,tm357820,MOVIE,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,2018,"['horror', 'thriller']",['US'],tt7608028,33769,3.7
Kaali Khuhi,Mystery,"October 30, 2020",3.4,Hindi,tm940566,MOVIE,"When a restless spirit curses a Punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, Shivangi.",2020,"['thriller', 'horror', 'drama']",['IN'],tt10235600,1207,4.8
Drive,Action,"November 1, 2019",3.5,Hindi,tm366245,MOVIE,A getaway driver is attracted to a female neighbor whose husband owes money to a local gangster. As a result he is drawn deeper into a dangerous underworld.,2019,"['thriller', 'crime', 'drama', 'action']",['IN'],tt6593054,7559,5.7
Leyla Everlasting,Comedy,"December 4, 2020",3.7,Turkish,tm854261,MOVIE,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.",2020,['comedy'],['TR'],tt11792734,7453,3.5
The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",3.7,English,tm888080,MOVIE,"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",2020,"['crime', 'thriller', 'action', 'drama', 'scifi']",['US'],tt1552211,11227,6.6
Paradox,Musical/Western/Fantasy,"March 23, 2018",3.9,English,tm370440,MOVIE,A loud poem. A whimsical western tale of music and love.,2018,"['western', 'fantasy', 'music']",['US'],tt7949046,711,3.3
Sardar Ka Grandson,Comedy,"May 18, 2021",4.1,Hindi,tm1036797,MOVIE,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",2021,"['romance', 'drama', 'comedy']",['IN'],tt11213600,4496,7.3
Searching for Sheela,Documentary,"April 22, 2021",4.1,English,tm1033803,MOVIE,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune's spokesperson returns to India after decades for an interview tour.,2021,"['documentation', 'crime']",['IN'],tt14167424,1327,6.1
The Call,Drama,"November 27, 2020",4.1,Korean,tm171042,MOVIE,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.",2013,"['crime', 'thriller', 'drama', 'horror', 'european']",['US'],tt1911644,120475,6.8
The Call,Drama,"November 27, 2020",4.1,Korean,tm453862,MOVIE,"Connected by phone in the same home but 20 years apart, a serial killer puts another womanÃ¢ÂÂs past Ã¢ÂÂ and life Ã¢ÂÂ on the line to change her own fate.",2020,"['thriller', 'scifi', 'drama', 'crime', 'horror']",['KR'],tt10530176,29450,7.6
Whipped,Romantic comedy,"September 18, 2020",4.1,Indonesian,tm843143,MOVIE,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments Ã¢ÂÂ until her hidden agenda comes to light.,2020,['romance'],['ID'],0,0,6.4
All Because of You,Action comedy,"October 1, 2020",4.2,Malay,tm938434,MOVIE,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",2020,"['comedy', 'action', 'romance']",['MY'],tt13106900,217,6.6
Mercy,Thriller,"November 22, 2016",4.2,English,tm239947,MOVIE,"Brought together at their childhood home over their dying mother, an estranged family is thrust into a deadly fight for their own survival.",2016,"['thriller', 'drama']",['US'],tt5710042,3402,4.3
After the Raid,Documentary,"December 19, 2019",4.3,Spanish,tm845370,MOVIE,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity.",2019,['documentation'],"['US', 'MX']",0,0,5.0
Ghost Stories,Horror anthology,"January 1, 2020",4.3,Hindi,tm848663,MOVIE,An anthology of four short horror tales.,2020,['horror'],['IN'],0,0,5.1
The Last Thing He Wanted,Political thriller,"February 21, 2020",4.3,English,tm464351,MOVIE,"At the turning point of the Iran-Contra affair, Elena McMahon, a fearless investigative journalist covering the 1984 US presidential campaign, puts herself in danger when she abandons her assigned task in order to fulfill the last wish of her ailing father, a mysterious man whose past activities she barely knows.",2020,"['drama', 'thriller', 'crime']","['GB', 'US']",tt7456312,14716,4.9
Death Note,Horror thriller,"August 25, 2017",4.4,English,tm217228,MOVIE,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",2017,"['fantasy', 'horror', 'thriller', 'action', 'crime', 'drama']",['US'],tt1241317,83519,4.2
Secret Obsession,Thriller,"July 18, 2019",4.4,English,tm814671,MOVIE,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.",2019,"['thriller', 'drama']",['US'],tt9419834,21011,5.5
Sextuplets,Comedy,"August 16, 2019",4.4,English,tm494731,MOVIE,"Father-to-be Alan is shocked to learn that he was born a sextuplet. With his newfound brother Russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.",2019,['comedy'],['US'],tt8976710,8380,6.3
The Girl on the Train,Thriller,"February 26, 2021",4.4,Hindi,tm990835,MOVIE,"When a voyeuristic divorcee fixates on the lives of a perfect couple a far, she soon gets embroiled in a murder mystery that unfolds revealing truths about her own life.",2021,"['drama', 'thriller', 'crime']",['IN'],tt8907992,14348,5.9
Thunder Force,Superhero-Comedy,"April 9, 2021",4.4,English,tm1020073,MOVIE,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",2021,"['scifi', 'comedy', 'fantasy', 'action']",['US'],tt10121392,40788,5.6
Fatal Affair,Thriller,"July 16, 2020",4.5,English,tm898759,MOVIE,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.",2020,['thriller'],['US'],0,0,5.7
Just Say Yes,Romantic comedy,"April 2, 2021",4.5,Dutch,tm904862,MOVIE,Incurable romantic Lotte's life is upended when her plans for a picture-perfect wedding unravel--just as her self-absorbed sister gets engaged.,2021,"['romance', 'comedy']",['NL'],tt12154638,1910,6.6
Seriously Single,Comedy,"July 31, 2020",4.5,English,tm862830,MOVIE,"Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga Sibiya, he seems to be the man she's waited her whole life for, a man who shares her values when it comes to love and relationships. Or so she thinks - Until she accidentally finds out that the man she was busy planning her forever with, had been planning his forever with someone else. After a messy breakup with Lunga, her commitment-phobic bestie, Noni, helps Dineo face what she dreads most: life as a single woman. Forced to move out of Lunga's apartment, Dineo seeks refuge with Noni. But letting go of another failed relationship is hard for Dineo. Now at her lowest point, Noni encourages Dineo to enjoy the spoils of singledom. Have fun. Meet new people. Become her own person. It's an intimidating notion for Dineo. She hasn't been single in years. But Noni is happy to be her guide. Together, they take the city night life by storm. But love is a difficult thing to avoid: Noni unexpectedly finds herself falling for an unlikely man and Dineo struggles to sidestep the traps of her romantic flaws. This is further complicated when Lunga realises the mistake he's made and declares his undying love to Dineo, wanting her back. Is Dineo strong enough to honour the new version of herself or will her fear of loneliness have her running back into Lunga's arms?",2020,"['romance', 'comedy']",['ZA'],tt11010144,1258,7.1
The Misadventures of Hedi and Cokeman,Comedy,"February 10, 2021",4.5,French,tm996996,MOVIE,"In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries.",2021,"['action', 'crime', 'comedy']",['FR'],tt13669344,624,0.0
5 Star Christmas,Comedy,"December 7, 2018",4.6,Italian,tm444821,MOVIE,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal.",2018,"['comedy', 'european']",['IT'],tt8775056,767,4.2
After Maria,Documentary,"May 24, 2019",4.6,English/Spanish,tm472961,MOVIE,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,2019,['documentation'],['US'],0,0,5.5
I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",4.6,English,tm244880,MOVIE,A young nurse takes care of elderly author who lives in a haunted house.,2016,"['thriller', 'drama', 'horror']","['CA', 'US']",tt5059406,14491,4.4
Paris Is Us,Romance drama,"February 22, 2019",4.6,French,tm372035,MOVIE,"Dreams and reality collide as a young woman navigates a tumultuous relationship amid rising social tensions, protests and tragedies in Paris.",2019,"['drama', 'european']",['FR'],tt7920024,1410,4.3
Rattlesnake,Horror,"October 25, 2019",4.6,English,tm449590,MOVIE,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",2019,"['horror', 'thriller', 'drama', 'crime']",['US'],tt9257484,8487,5.2
We Are One,Documentary,"July 14, 2020",4.6,French,tm912399,MOVIE,"Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video ""SolidaritÃÂ©.""",2020,['documentation'],['FR'],tt12588398,92,5.8
Finding Agnes,Drama,"November 30, 2020",4.7,Filipino,tm947446,MOVIE,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.",2020,['drama'],['PH'],tt13328840,155,5.5
